bundle_id,week_start,total_potholes,unfixed,unfixed_rate,is_dh
292.0,2025-02-08,1,1,1.0,False
292.0,2025-05-10,1,1,1.0,False
292.0,2025-05-24,2,0,0.0,False
292.0,2025-05-31,1,1,1.0,False
292.0,2025-06-07,1,0,0.0,False
292.0,2025-08-02,1,0,0.0,False
293.0,2021-04-10,1,1,1.0,False
293.0,2022-03-19,1,1,1.0,False
293.0,2023-04-08,1,1,1.0,False
293.0,2023-06-03,1,0,0.0,False
293.0,2023-09-16,1,1,1.0,False
293.0,2023-11-18,1,1,1.0,False
293.0,2024-06-15,1,0,0.0,False
293.0,2024-08-31,1,1,1.0,False
293.0,2024-09-07,1,0,0.0,False
293.0,2025-10-18,1,0,0.0,False
295.0,2022-04-30,1,1,1.0,False
295.0,2022-12-10,1,1,1.0,False
297.0,2021-05-08,1,1,1.0,False
297.0,2021-08-21,1,1,1.0,False
297.0,2023-04-15,1,1,1.0,False
297.0,2025-02-15,1,1,1.0,False
299.0,2021-01-16,1,1,1.0,False
299.0,2023-01-07,1,1,1.0,False
299.0,2023-02-11,1,1,1.0,False
299.0,2023-11-11,1,0,0.0,False
299.0,2025-07-19,1,1,1.0,False
304.0,2021-11-27,1,1,1.0,False
304.0,2022-02-05,1,1,1.0,False
304.0,2022-02-19,1,1,1.0,False
304.0,2022-03-26,1,1,1.0,False
304.0,2022-12-10,2,2,1.0,False
304.0,2023-01-14,2,2,1.0,False
304.0,2023-02-04,1,1,1.0,False
304.0,2023-02-25,1,1,1.0,False
304.0,2023-03-11,2,1,0.5,False
304.0,2023-03-18,2,2,1.0,False
304.0,2023-06-03,1,0,0.0,False
304.0,2023-07-01,1,0,0.0,False
304.0,2023-09-23,1,1,1.0,False
304.0,2023-11-18,1,1,1.0,False
304.0,2023-12-30,1,1,1.0,False
304.0,2024-01-13,1,0,0.0,False
304.0,2024-01-20,1,1,1.0,False
304.0,2024-01-27,1,0,0.0,False
304.0,2024-02-03,1,1,1.0,False
304.0,2024-02-24,1,0,0.0,False
304.0,2024-03-09,1,0,0.0,False
304.0,2024-03-30,1,1,1.0,False
304.0,2024-05-11,1,1,1.0,False
304.0,2024-06-01,1,0,0.0,False
304.0,2024-06-15,1,0,0.0,False
304.0,2024-08-31,1,0,0.0,False
304.0,2024-12-07,1,0,0.0,False
304.0,2025-03-08,1,1,1.0,False
304.0,2025-03-15,1,0,0.0,False
304.0,2025-04-05,1,1,1.0,False
304.0,2025-04-12,1,0,0.0,False
304.0,2025-06-07,1,1,1.0,False
304.0,2025-09-20,1,0,0.0,False
304.0,2025-10-04,1,0,0.0,False
304.0,2025-10-18,1,0,0.0,False
304.0,2025-11-15,1,1,1.0,False
304.0,2025-11-22,2,2,1.0,False
305.0,2022-01-22,1,1,1.0,False
305.0,2024-04-06,1,1,1.0,False
305.0,2025-03-08,1,1,1.0,False
305.0,2025-03-22,1,0,0.0,False
313.0,2021-08-07,1,1,1.0,False
313.0,2021-11-20,1,1,1.0,False
316.0,2023-03-11,1,1,1.0,False
321.0,2021-09-04,1,0,0.0,False
321.0,2023-04-22,1,0,0.0,False
321.0,2025-03-15,1,1,1.0,False
323.0,2023-02-18,1,0,0.0,False
323.0,2023-02-25,1,1,1.0,False
323.0,2023-04-08,1,1,1.0,False
323.0,2023-04-29,1,0,0.0,False
339.0,2022-02-19,1,1,1.0,False
339.0,2022-02-26,1,1,1.0,False
339.0,2023-01-07,1,1,1.0,False
339.0,2023-08-05,1,1,1.0,False
339.0,2023-11-04,1,1,1.0,False
339.0,2024-02-24,1,0,0.0,False
339.0,2025-03-29,1,1,1.0,False
339.0,2025-08-02,1,0,0.0,False
339.0,2025-12-06,1,0,0.0,False
341.0,2021-01-16,1,1,1.0,False
341.0,2021-02-27,1,1,1.0,False
341.0,2021-04-10,1,1,1.0,False
341.0,2021-10-02,1,0,0.0,False
341.0,2022-01-08,1,1,1.0,False
341.0,2022-02-19,1,1,1.0,False
341.0,2022-03-19,1,1,1.0,False
341.0,2022-04-30,1,0,0.0,False
341.0,2022-05-21,1,0,0.0,False
341.0,2022-10-01,2,2,1.0,False
341.0,2022-10-15,1,1,1.0,False
341.0,2022-12-03,1,1,1.0,False
341.0,2022-12-17,1,1,1.0,False
341.0,2022-12-31,1,1,1.0,False
341.0,2023-01-28,1,1,1.0,False
341.0,2023-03-18,1,1,1.0,False
341.0,2023-03-25,1,1,1.0,False
341.0,2023-05-06,1,0,0.0,False
341.0,2024-01-06,1,1,1.0,False
341.0,2024-01-13,1,0,0.0,False
341.0,2024-03-23,2,2,1.0,False
341.0,2024-07-13,1,1,1.0,False
341.0,2024-11-09,1,0,0.0,False
341.0,2025-01-25,1,1,1.0,False
341.0,2025-03-15,2,2,1.0,False
341.0,2025-10-11,1,0,0.0,False
341.0,2025-10-25,1,0,0.0,False
341.0,2025-11-15,1,0,0.0,False
341.0,2025-11-22,1,1,1.0,False
341.0,2025-11-29,2,2,1.0,False
341.0,2025-12-06,1,0,0.0,False
342.0,2021-01-09,1,1,1.0,False
342.0,2024-02-03,1,1,1.0,False
349.0,2022-01-01,1,1,1.0,False
349.0,2022-02-19,1,1,1.0,False
349.0,2022-11-19,1,1,1.0,False
349.0,2023-03-25,1,1,1.0,False
349.0,2023-08-12,1,0,0.0,False
349.0,2024-02-03,1,0,0.0,False
349.0,2025-11-08,1,0,0.0,False
349.0,2025-11-22,1,1,1.0,False
356.0,2021-07-31,1,1,1.0,False
356.0,2022-02-12,1,1,1.0,False
356.0,2022-07-30,1,0,0.0,False
